Date,Open,High,Low,Close
2026-09-14 09:00:00,100.0,104.15,91.24,95.08
2026-09-14 10:00:00,95.08,98.82,88.85,91.63
2026-09-14 11:00:00,91.63,93.74,88.48,91.13
2026-09-14 12:00:00,91.13,93.29,84.87,87.09
2026-09-14 13:00:00,87.09,93.83,84.77,89.98
2026-09-14 14:00:00,89.98,95.46,85.64,92.44
2026-09-14 15:00:00,92.44,94.52,84.94,87.51
2026-09-14 16:00:00,87.51,92.64,85.66,91.0
2026-09-14 17:00:00,91.0,93.0,86.61,90.16
2026-09-15 09:00:00,90.16,93.67,85.61,88.16
2026-09-15 10:00:00,88.16,95.53,84.1,91.3
2026-09-15 11:00:00,91.3,98.81,89.65,95.12
2026-09-15 12:00:00,95.12,100.74,93.12,96.29
2026-09-15 13:00:00,96.29,99.64,93.91,97.95
2026-09-15 14:00:00,97.95,101.51,91.93,94.33
2026-09-15 15:00:00,94.33,99.03,91.84,95.52
2026-09-15 16:00:00,95.52,99.38,88.58,91.99
2026-09-15 17:00:00,91.99,98.68,88.76,96.63
2026-09-16 09:00:00,96.63,103.6,92.72,99.42
2026-09-16 10:00:00,99.42,101.27,94.43,97.4
2026-09-16 11:00:00,97.4,100.29,91.93,93.6
2026-09-16 12:00:00,93.6,101.08,90.16,98.75
2026-09-16 13:00:00,98.75,100.48,89.23,93.12
2026-09-16 14:00:00,93.12,96.56,88.58,92.23
2026-09-16 15:00:00,92.23,95.59,89.19,92.78
2026-09-16 16:00:00,92.78,95.7,83.61,87.82
2026-09-16 17:00:00,87.82,91.41,85.89,89.82
2026-09-17 09:00:00,89.82,93.28,83.16,87.26
2026-09-17 10:00:00,87.26,89.97,82.57,84.41
2026-09-17 11:00:00,84.41,92.46,82.47,89.19
2026-09-17 12:00:00,89.19,93.0,83.95,88.21
2026-09-17 13:00:00,88.21,95.78,83.94,92.99
2026-09-17 14:00:00,92.99,96.58,89.05,91.32
2026-09-17 15:00:00,91.32,99.17,88.52,96.11
2026-09-17 16:00:00,96.11,102.96,91.76,99.45
2026-09-17 17:00:00,99.45,106.19,96.39,102.11
2026-09-18 09:00:00,102.11,106.4,97.92,100.72
2026-09-18 10:00:00,100.72,102.59,92.5,95.13
2026-09-18 11:00:00,95.13,97.03,91.05,93.92
2026-09-18 12:00:00,93.92,97.95,90.48,93.03
2026-09-18 13:00:00,93.03,95.84,83.21,87.52
2026-09-18 14:00:00,87.52,89.55,81.16,84.72
2026-09-18 15:00:00,84.72,94.63,80.87,90.72
2026-09-18 16:00:00,90.72,92.37,84.86,86.6
2026-09-18 17:00:00,86.6,94.18,82.76,91.92
